工号,姓名,手机号,部门,权重
1729,林小刚,13865645487,技术部,11
1730,郑小涛,13879379497,技术部,8
1731,何小明,13842458581,财务部,7
1732,李小明,13896085740,销售部,7
1733,梁小伟,13848331177,财务部,10
1734,李小涛,13883456218,市场部,8
1735,赵小明,13833103292,财务部,8
1736,周小刚,13897649906,市场部,9
1737,何小娟,13865483906,财务部,10
1738,罗小红,13827863012,技术部,9
1739,马小娟,13854544816,技术部,11
1740,徐小娟,13876027438,财务部,7
1741,王小超,13865009201,技术部,11
1742,罗小超,13894682980,市场部,11
1743,孙小涛,13890795498,销售部,7
1744,周小伟,13823961255,市场部,10
1745,吴小红,13830533943,财务部,10
1746,杨小明,13858738675,技术部,10
1747,杨小明,13892904011,市场部,8
1748,赵小涛,13883698465,技术部,10
1749,黄小红,13886381472,销售部,7
1750,马小超,13874884827,技术部,10
1751,马小刚,13856300144,技术部,7
1752,张小丽,13870374101,销售部,12
1753,刘小芳,13859552910,市场部,11
1754,杨小涛,13811173331,市场部,8
1755,孙小伟,13838031485,技术部,11
1756,朱小刚,13882774561,销售部,7
1757,何小明,13818004544,技术部,9
1758,罗小红,13873965210,财务部,10
1759,赵小伟,13877838184,市场部,11
1760,马小丽,13836480512,市场部,12
1761,林小刚,13893349122,销售部,10
1762,周小丽,13839497414,市场部,8
1763,梁小芳,13828292680,财务部,12
1764,林小芳,13862442057,技术部,10
1765,王小涛,13856467230,市场部,11
1766,郑小丽,13877935249,财务部,11
1767,刘小娟,13887819839,技术部,9
1768,何小明,13819442418,市场部,9
1769,张小伟,13829812747,技术部,8
1770,高小红,13895660206,财务部,7
1771,陈小超,13872325894,市场部,10
1772,杨小芳,13823347425,市场部,10
1773,王小超,13878398530,市场部,7
1774,王小军,13885149666,销售部,10
1775,王小刚,13827555834,市场部,11
1776,陈小芳,13811664556,销售部,8
1777,赵小伟,13820912990,财务部,12
1778,黄小红,13852466818,市场部,10
1779,王小丽,13861942255,财务部,9
1780,林小涛,13880793426,财务部,12
1781,林小娟,13813784099,财务部,12
1782,梁小红,13895628943,市场部,10
1783,林小伟,13826134911,财务部,11
1784,李小超,13856295220,技术部,7
1785,刘小军,13895992143,技术部,8
1786,高小伟,13883088055,市场部,10
1787,林小明,13859432465,技术部,9
1788,孙小芳,13856338785,技术部,10
1789,徐小超,13893218411,财务部,11
1790,刘小芳,13864838930,销售部,11
1791,刘小军,13838124694,销售部,11
1792,陈小红,13851895790,销售部,8
1793,吴小刚,13833271371,技术部,8
1794,陈小刚,13894149129,市场部,12
1795,陈小涛,13857475203,技术部,12
1796,林小军,13895520528,销售部,10
1797,马小芳,13840956669,市场部,10
1798,吴小刚,13829480423,市场部,11
1799,马小刚,13815598451,技术部,9
1800,刘小伟,13831653644,销售部,12
1801,林小红,13826518909,财务部,11
1802,周小超,13848617043,财务部,9
1803,梁小涛,13838488882,技术部,11
1804,王小丽,13811586852,技术部,9
1805,郑小芳,13852246270,技术部,12
1806,黄小超,13899368653,销售部,11
1807,吴小娟,13870551771,财务部,11
1808,黄小芳,13872885869,销售部,8
1809,林小超,13811820329,市场部,8
1810,朱小红,13848390868,技术部,7
1811,罗小丽,13812751413,市场部,12
1812,林小明,13838880835,财务部,12
1813,刘小明,13827887088,销售部,11
1814,吴小明,13814399893,销售部,10
1815,李小伟,13825415200,财务部,12
1816,孙小丽,13841463155,技术部,7
1817,朱小丽,13832757455,市场部,7
1818,李小超,13830583385,销售部,9
1819,李小刚,13875008099,市场部,10
1820,陈小红,13889574046,市场部,11
1821,李小明,13825810637,销售部,8
1822,郑小刚,13821484695,市场部,8
1823,吴小超,13854337548,财务部,12
1824,陈小明,13837243528,技术部,8
1825,张小伟,13852647504,技术部,12
1826,吴小娟,13882430819,技术部,9
1827,徐小军,13841073826,技术部,11
1828,李小娟,13811601296,市场部,10
1829,何小军,13846670183,销售部,12
1830,高小红,13844276245,技术部,9
1831,周小明,13815288391,市场部,12
1832,吴小超,13817156753,财务部,7
1833,赵小红,13856582973,销售部,9
1834,赵小芳,13899402927,技术部,7
1835,王小涛,13864036360,财务部,7
1836,郑小明,13891710659,技术部,12
1837,黄小伟,13857144370,销售部,10
1838,高小红,13884955692,技术部,7
1839,杨小明,13817043728,技术部,7
1840,王小超,13845275984,技术部,12
1841,高小丽,13831179813,财务部,9
1842,赵小刚,13823808709,财务部,9
1843,何小涛,13861390753,财务部,10
1844,陈小丽,13850792783,技术部,9
1845,赵小芳,13836324213,财务部,11
1846,李小丽,13883634169,市场部,10
1847,朱小娟,13832342152,技术部,11
1848,陈小超,13877478526,技术部,9
1849,周小丽,13868961134,技术部,8
1850,郑小军,13896640116,市场部,12
1851,郑小伟,13844074405,技术部,7
1852,梁小刚,13817584677,市场部,9
1853,高小芳,13834068643,市场部,11
1854,徐小军,13897820425,市场部,12
1855,吴小军,13887605966,技术部,9
1856,林小红,13865328061,市场部,7
1857,黄小明,13840112033,技术部,7
1858,杨小伟,13857189249,技术部,7
1859,黄小军,13814478989,销售部,7
1860,林小明,13825961989,销售部,7
1861,孙小超,13859016476,市场部,7
1862,朱小超,13837151351,财务部,8
1863,徐小娟,13885687895,财务部,9
1864,陈小超,13853476536,技术部,9
1865,朱小丽,13853391042,市场部,11
1866,王小娟,13891887662,市场部,7
1867,赵小娟,13873172916,财务部,10
1868,李小刚,13881088682,财务部,9
1869,梁小刚,13891709763,销售部,10
1870,黄小刚,13846658792,市场部,7
1871,徐小涛,13839397109,技术部,7
1872,周小丽,13856214038,市场部,9
1873,孙小丽,13887509404,技术部,8
1874,杨小军,13887498496,市场部,8
1875,郑小明,13827116204,市场部,8
1876,徐小军,13823419240,财务部,8
1877,梁小涛,13865313577,财务部,11
1878,陈小芳,13855688922,市场部,12
1879,何小娟,13829799909,技术部,7
1880,黄小涛,13892966134,市场部,8
1881,何小军,13813382069,销售部,10
1882,马小芳,13835079207,市场部,7
1883,朱小明,13864623624,技术部,11
1884,朱小明,13876014846,技术部,10
1885,郑小芳,13853913789,销售部,10
1886,吴小军,13835584205,销售部,7
1887,徐小芳,13889054339,销售部,7
1888,何小芳,13881280129,销售部,10
1889,赵小涛,13846004332,销售部,11
1890,马小涛,13861658569,技术部,12
1891,杨小伟,13834613551,技术部,7
1892,吴小娟,13884999264,市场部,8
1893,杨小红,13856986641,销售部,7
1894,孙小红,13899297971,技术部,10
1895,吴小娟,13871641525,销售部,10
1896,陈小伟,13865703309,财务部,11
1897,朱小明,13819321436,技术部,11
1898,赵小超,13830576019,市场部,8
1899,林小丽,13889620605,技术部,8
1900,孙小伟,13834803374,技术部,12
1901,吴小丽,13861976243,财务部,8
1902,刘小明,13815003356,财务部,7
1903,周小明,13889531990,财务部,11
1904,马小红,13871535634,市场部,10
1905,张小丽,13859690668,技术部,9
1906,周小超,13865079127,技术部,11
1907,吴小红,13855452883,市场部,12
1908,张小涛,13895318091,技术部,12
1909,马小娟,13896821262,技术部,9
1910,李小涛,13864783611,销售部,7
1911,林小丽,13850441751,技术部,10
1912,杨小军,13853235518,财务部,10
1913,郑小超,13819609716,市场部,9
1914,梁小伟,13897366371,财务部,9
1915,陈小涛,13828359171,财务部,8
1916,林小明,13843037534,市场部,10
1917,高小超,13837739651,市场部,8
1918,郑小伟,13834198129,财务部,7
1919,王小超,13898665776,销售部,7
1920,马小刚,13834838183,财务部,10
1921,陈小娟,13882021530,销售部,12
1922,陈小明,13853297036,销售部,7
1923,徐小超,13878899777,销售部,10
1924,高小红,13872531007,财务部,9
1925,赵小超,13870177802,销售部,8
1926,陈小芳,13887649141,市场部,11
1927,王小涛,13853140553,技术部,11
1928,陈小明,13880363812,销售部,10
1929,罗小娟,13847950231,财务部,8
1930,陈小娟,13816019870,技术部,12
1931,赵小涛,13815136044,财务部,11
1932,王小超,13892965541,技术部,11
1933,林小芳,13880978633,技术部,7
1934,罗小刚,13829482704,市场部,7
1935,高小芳,13814087020,技术部,10
1936,刘小军,13878030517,财务部,7
1937,罗小刚,13890552317,销售部,12
1938,郑小娟,13854899466,财务部,7
1939,刘小伟,13868353324,市场部,9
1940,赵小刚,13890767396,市场部,11
1941,徐小涛,13813683676,销售部,11
1942,梁小刚,13825308286,技术部,12
1943,林小丽,13830060603,销售部,11
1944,陈小军,13870190648,技术部,12
1945,黄小伟,13829475364,财务部,8
1946,黄小娟,13855721387,销售部,9
1947,刘小军,13883835724,销售部,7
1948,黄小军,13853127166,技术部,12
1949,赵小红,13845834566,技术部,12
1950,林小明,13813145496,市场部,7
1951,王小芳,13868182883,市场部,7
1952,周小涛,13814720702,财务部,8
1953,朱小军,13814073899,销售部,12
1954,朱小红,13834029877,销售部,7
1955,吴小伟,13815001886,财务部,8
1956,陈小军,13846572401,技术部,7
1957,梁小丽,13815292209,技术部,7
1958,吴小涛,13898253758,财务部,8
1959,梁小明,13855330753,市场部,12
1960,张小超,13822854501,市场部,8
1961,何小红,13838102424,技术部,7
1962,王小芳,13819381559,市场部,9
1963,王小娟,13843369342,财务部,12
1964,罗小军,13826319629,市场部,7
1965,黄小娟,13831405098,市场部,11
1966,吴小红,13863044743,财务部,8
1967,朱小红,13854261824,市场部,9
1968,朱小刚,13849261020,技术部,9
1969,杨小涛,13880271547,销售部,11
1970,赵小军,13874650792,技术部,11
1971,周小红,13889813906,市场部,12
1972,李小伟,13890769844,市场部,7
1973,罗小明,13860122582,销售部,7
1974,张小芳,13832112488,财务部,11
1975,黄小明,13817407449,技术部,10
1976,王小超,13814681387,技术部,9
1977,郑小明,13821343519,市场部,11
1978,赵小红,13832947499,市场部,11
1979,杨小军,13829583588,市场部,9
1980,朱小涛,13846830629,财务部,10
1981,朱小明,13895065264,销售部,9
1982,梁小伟,13863809156,财务部,10
1983,梁小伟,13814483133,销售部,11
1984,王小军,13891488334,财务部,12
1985,朱小刚,13893751074,市场部,7
1986,李小丽,13899951442,技术部,9
1987,黄小芳,13856629443,市场部,12
1988,周小超,13897125773,财务部,8
1989,徐小超,13833996604,财务部,12
1990,王小伟,13845391876,市场部,10
1991,张小明,13864265022,销售部,10
1992,吴小红,13854755530,财务部,7
1993,高小伟,13847004257,技术部,12
1994,张小伟,13868086412,财务部,9
1995,林小丽,13825860811,销售部,10
1996,徐小刚,13881535294,技术部,11
1997,朱小明,13835721165,财务部,7
1998,杨小超,13871859771,销售部,7
1999,吴小伟,13827832275,财务部,12
2000,黄小伟,13897465205,技术部,12
